Holiyday_Date,Holiyday_Name
7-Jan-20,عيد الميلاد المجيد
25-Jan-20,عيد ثورة 25 يناير وعيد الشرطة
12-Mar-20,عاصفة التنين
13-Mar-20,بداية جائحة كورونا
19-Apr-20,عيد القيامة المجيد
20-Apr-20,عيد الفصح (شم النسيم)
25-Apr-20,عيد تحرير سيناء
1-May-20,عيد العمال
24-May-20,عيد الفطر المبارك
25-May-20,عيد الفطر المبارك
26-May-20,عيد الفطر المبارك
27-May-20,عيد الفطر المبارك
28-May-20,عيد الفطر المبارك
30-Jun-20,ثورة 30 يونيه
23-Jul-20,عيد الثورة (23 يوليو)
30-Jul-20,وقفه عيد الأضحى المبارك
31-Jul-20,عيد الأضحى المبارك
1-Aug-20,عيد الأضحى المبارك
2-Aug-20,عيد الأضحى المبارك
3-Aug-20,عيد الأضحى المبارك
20-Aug-20,رأس السنة الهجرية
8-Oct-20,عيد تحرير سيناء
29-Oct-20,المولد النبوي الشريف
7-Jan-21,عيد الميلاد المجيد
28-Jan-21,عيد ثورة 25 يناير وعيد الشرطة
29-Apr-21,عيد تحرير سيناء
1-May-21,عيد العمال
2-May-21,أحد الشعانين
3-May-21,عيد الفصح (شم النسيم)
12-May-21,عيد الفطر المبارك
13-May-21,عيد الفطر المبارك
14-May-21,عيد الفطر المبارك
15-May-21,عيد الفطر المبارك
16-May-21,عيد الفطر المبارك
1-Jul-21,ثورة 30 يونيه
18-Jul-21,عيد الثورة (23 يوليو)
19-Jul-21,وقفه عيد الأضحى المبارك
20-Jul-21,عيد الأضحى المبارك
21-Jul-21,عيد الأضحى المبارك
22-Jul-21,عيد الأضحى المبارك
12-Aug-21,رأس السنة الهجرية
7-Oct-21,عيد تحرير سيناء
21-Oct-21,المولد النبوي الشريف
7-Jan-22,عيد الميلاد المجيد
28-Jan-22,عيد ثورة 25 يناير وعيد الشرطة
25-Apr-22,عيد تحرير سيناء
1-May-22,عيد العمال
2-May-22,عيد الفطر المبارك
3-May-22,عيد الفطر المبارك
30-Jun-22,ثورة 30 يونيه
8-Jul-22,وقفه عيد الأضحى المبارك
9-Jul-22,عيد الأضحى المبارك
10-Jul-22,عيد الأضحى المبارك
6-Oct-22,عيد القوات المسلحة
8-Oct-22,المولد النبوي الشريف
7-Jan-23,عيد الميلاد المجيد
26-Jan-23,عيد ثورة 25 يناير وعيد الشرطة
17-Apr-23,عيد الفصح (شم النسيم)
20-Apr-23,عيد الفطر المبارك
21-Apr-23,عيد الفطر المبارك
22-Apr-23,عيد الفطر المبارك
23-Apr-23,عيد الفطر المبارك
24-Apr-23,عيد الفطر المبارك
4-May-23,عيد العمال
27-Jun-23,وقفه عيد الأضحى المبارك
28-Jun-23,عيد الأضحى المبارك
29-Jun-23,عيد الأضحى المبارك
30-Jun-23,عيد الأضحى المبارك
1-Jul-23,عيد الأضحى المبارك
2-Jul-23,ثورة 30 يونيه
20-Jul-23,رأس السنة الهجرية
23-Jul-23,عيد تحرير سيناء
28-Sep-23,المولد النبوي الشريف
5-Oct-23,عيد القوات المسلحة
7-Jan-24,عيد الميلاد المجيد
25-Jan-24,عيد ثورة 25 يناير وعيد الشرطة
9-Apr-24,عيد الفطر المبارك
10-Apr-24,عيد الفطر المبارك
11-Apr-24,عيد الفطر المبارك
12-Apr-24,عيد الفطر المبارك
13-Apr-24,عيد الفطر المبارك
25-Apr-24,عيد تحرير سيناء
5-May-24,عيد العمال
6-May-24,عيد الفصح (شم النسيم)
16-Jun-24,عيد الأضحى المبارك
17-Jun-24,عيد الأضحى المبارك
18-Jun-24,عيد الأضحى المبارك
30-Jun-24,ثورة 30 يونيه
11-Jul-24,رأس السنة الهجرية
25-Jul-24,عيد الثورة (23 يوليو)
15-Sep-24,المولد النبوي الشريف
6-Oct-24,عيد القوات المسلحة
7-Jan-25,عيد الميلاد المجيد
25-Jan-25,عيد ثورة 25 يناير وعيد الشرطة
31-Mar-25,عيد الفطر المبارك
1-Apr-25,عيد الفطر المبارك
2-Apr-25,عيد الفطر المبارك
21-Apr-25,عيد الفصح (شم النسيم)
24-Apr-25,عيد تحرير سيناء
1-May-25,عيد العمال
5-Jun-25,وقفه عيد الأضحى المبارك
6-Jun-25,عيد الأضحى المبارك
7-Jun-25,عيد الأضحى المبارك
8-Jun-25,عيد الأضحى المبارك
9-Jun-25,عيد الأضحى المبارك
26-Jun-25,رأس السنة الهجرية
3-Jul-25,ثورة 30 يونيه
23-Jul-25,عيد الثورة (23 يوليو)
4-Sep-25,المولد النبوي الشريف
9-Oct-25,عيد القوات المسلحة
7-Jan-26,عيد الميلاد المجيد
25-Jan-26,عيد ثورة 25 يناير وعيد الشرطة
19-Mar-26,عيد الفطر المبارك
20-Mar-26,عيد الفطر المبارك
21-Mar-26,عيد الفطر المبارك
22-Mar-26,عيد الفطر المبارك
23-Mar-26,عيد الفطر المبارك
5-Apr-26,أحد الشعانين
9-Apr-26,خميس العهد 
12-Apr-26, عيد القيامة المجيد
13-Apr-26,عيد الفصح (شم النسيم)
23-Apr-26,عيد تحرير سيناء
7-May-26,عيد العمال
26-May-26,وقفه عيد الأضحى المبارك
27-May-26,عيد الأضحى المبارك
28-May-26,عيد الأضحى المبارك
29-May-26,عيد الأضحى المبارك
30-May-26,عيد الأضحى المبارك
31-May-26,عيد الأضحى المبارك
18-Jun-26,رأس السنة الهجرية
